aX,aY,aZ,gX,gY,gZ
-1.177,-1.312,0.857,-6.836,-94.055,67.2
-1.237,-1.371,0.888,-13.977,-109.741,78.979
-1.274,-1.403,0.903,-18.86,-127.258,87.097
-1.282,-1.42,0.908,-20.081,-145.02,91.98
-1.289,-1.405,0.916,-20.081,-161.926,94.238
-1.291,-1.358,0.91,-21.79,-181.641,94.299
-1.263,-1.301,0.853,-23.682,-208.069,95.215
-1.247,-1.257,0.776,-27.1,-237.122,101.929
-1.252,-1.229,0.715,-35.828,-262.146,115.906
-1.25,-1.219,0.679,-45.593,-278.381,134.216
-1.247,-1.215,0.648,-55.908,-285.156,151.367
-1.228,-1.218,0.6,-67.749,-283.691,166.931
-1.198,-1.198,0.516,-83.13,-273.315,181.702
-1.177,-1.122,0.39,-100.464,-250.305,197.388
-1.176,-0.979,0.239,-119.751,-213.745,215.271
-1.193,-0.838,0.125,-138.184,-165.466,238.77
-1.185,-0.733,0.083,-155.09,-109.436,264.282
-1.087,-0.65,0.039,-165.466,-54.382,284.424
-0.958,-0.546,-0.019,-163.391,-4.639,297.974
-0.849,-0.406,-0.054,-155.212,41.321,309.082
-0.733,-0.247,-0.068,-145.691,84.229,319.763
-0.597,-0.113,-0.063,-134.216,122.437,330.322
-0.433,-0.022,-0.032,-119.324,155.823,341.309
-0.265,0.055,0.039,-97.412,181.702,356.14
-0.11,0.148,0.152,-71.35,192.993,372.498
0.066,0.265,0.278,-43.152,187.622,390.93
0.247,0.412,0.437,-12.39,165.771,412.292
0.418,0.53,0.615,23.254,129.028,437.5
0.506,0.531,0.758,57.739,77.271,464.417
0.516,0.453,0.763,81.726,16.418,493.164
0.413,0.344,0.624,101.807,-39.185,517.212
0.172,0.286,0.479,126.099,-77.393,532.349
