aX,aY,aZ,gX,gY,gZ
-0.319,-0.943,0.343,-3.357,-2.808,-3.174
-0.305,-0.938,0.359,-4.578,6.165,-2.258
-0.283,-0.927,0.374,-5.554,13.245,-1.526
-0.265,-0.906,0.39,-5.859,16.602,-0.671
-0.256,-0.873,0.397,-5.493,16.174,0.549
-0.257,-0.854,0.406,-4.089,12.39,2.014
-0.263,-0.864,0.406,-2.625,6.104,4.15
-0.281,-0.888,0.392,-2.075,-1.465,5.005
-0.31,-0.905,0.365,-1.587,-7.568,3.479
-0.325,-0.908,0.338,-0.671,-10.01,-0.488
-0.319,-0.918,0.337,0.427,-8.057,-3.845
-0.308,-0.93,0.351,0.366,-3.723,-5.737
-0.292,-0.935,0.368,-0.61,1.099,-6.226
-0.268,-0.934,0.392,-2.38,6.104,-5.249
-0.26,-0.92,0.406,-3.967,9.338,-3.723
-0.26,-0.901,0.408,-5.127,11.23,-1.526
-0.265,-0.895,0.414,-5.676,11.658,1.038
-0.259,-0.879,0.418,-5.31,10.254,1.587
-0.257,-0.863,0.408,-3.601,6.348,1.099
-0.27,-0.862,0.407,-1.953,1.77,0.305
1.758,-1.123,-0.333,-101.074,-206.97,-5.371
2.131,-1.055,-0.603,-110.413,-301.025,-7.141
2.462,-0.831,-0.77,-104.797,-410.461,-13.916
2.827,-0.546,-0.971,-84.534,-541.87,-7.812
3.035,-0.45,-1.216,-40.161,-687.927,2.563
3.148,-0.548,-1.517,-7.446,-821.228,23.743
3.013,-0.794,-1.734,-0.244,-924.255,56.091
2.694,-0.989,-1.906,-3.418,-991.394,77.82
2.17,-0.924,-2.0,0.488,-1011.475,75.256
1.59,-0.749,-1.96,8.301,-985.352,55.908
1.075,-0.615,-1.88,10.742,-924.744,43.823
0.759,-0.599,-1.828,13.428,-843.994,50.476
0.522,-0.633,-1.769,21.606,-752.563,70.374
0.154,-0.607,-1.58,31.067,-660.767,98.572
-0.24,-0.699,-1.226,39.795,-581.116,134.705
-0.528,-0.922,-0.891,43.64,-528.442,171.753
-0.746,-1.135,-0.695,42.419,-506.714,198.669
-0.905,-1.214,-0.602,35.828,-503.723,204.712
-1.088,-1.209,-0.675,26.917,-508.423,194.397
-1.336,-1.141,-0.958,16.174,-500.0,179.565
-1.664,-0.862,-0.95,13.489,-451.782,164.185
-3.134,-0.333,-0.049,63.049,-383.24,168.762
-4.0,-0.312,-0.476,94.36,-372.864,288.635
-4.0,-1.299,-2.309,-83.74,-368.652,482.117
-3.069,-2.834,-2.205,-219.604,-223.389,513.55
-1.28,-3.403,-1.618,-153.198,-33.508,313.721
-0.501,-2.201,-0.606,30.823,79.712,-0.916
0.036,-1.254,0.077,82.764,150.391,-219.116
0.156,-0.911,0.336,71.655,175.781,-279.236
0.389,-1.072,0.603,59.937,176.392,-229.614
0.397,-1.449,0.673,44.678,153.748,-164.673
0.605,-1.77,0.797,27.161,115.723,-120.361
0.667,-1.612,0.811,13.55,67.139,-95.886
0.57,-1.16,0.735,-0.061,15.32,-75.134
0.446,-0.768,0.694,-13.489,-24.78,-36.011
