aX,aY,aZ,gX,gY,gZ
1.001,0.065,0.109,-14.282,-21.362,6.775
1.012,0.073,0.152,-12.817,-22.156,6.348
1.03,0.062,0.198,-11.719,-25.269,6.348
1.071,0.09,0.215,-10.986,-31.982,6.897
1.037,0.093,0.153,-10.437,-39.307,10.193
0.997,0.081,0.089,-9.521,-41.504,12.634
0.972,0.077,0.079,-6.897,-36.499,12.146
0.962,0.093,0.072,-4.028,-29.053,9.155
0.941,0.091,0.052,-2.747,-19.836,7.568
0.938,0.077,0.063,-2.563,-8.057,6.775
0.963,0.064,0.119,-3.601,2.686,5.554
0.989,0.072,0.157,-4.7,8.24,3.235
1.005,0.09,0.179,-6.042,8.24,1.587
0.998,0.105,0.168,-7.874,5.554,0.977
0.99,0.117,0.144,-10.071,3.052,0.549
0.993,0.15,0.14,-10.986,2.136,-0.183
0.981,0.184,0.131,-10.864,1.831,0.305
0.986,0.187,0.128,-9.583,1.038,1.892
0.987,0.167,0.115,-6.47,-0.122,2.747
0.967,0.158,0.087,-2.686,-0.427,1.831
0.969,0.156,0.08,1.526,0.732,0.122
0.975,0.152,0.089,4.822,2.563,-0.671
0.98,0.14,0.096,6.409,3.845,0.244
0.98,0.125,0.098,7.202,4.15,1.831
0.973,0.114,0.094,6.226,3.906,3.174
0.965,0.115,0.096,4.578,3.418,3.662
0.954,0.12,0.078,3.54,2.869,2.869
0.952,0.127,0.065,2.258,4.089,1.465
0.332,-0.191,2.703,51.514,59.692,18.127
0.353,-0.242,2.917,17.09,77.82,30.518
0.391,-0.296,3.06,-16.235,102.478,43.762
0.405,-0.247,3.153,-46.753,131.592,57.068
0.368,-0.109,3.276,-63.965,159.546,57.19
0.359,0.052,3.381,-67.261,184.204,42.725
0.403,0.214,3.359,-60.608,211.731,24.353
0.457,0.268,3.244,-51.453,245.972,12.756
0.435,0.213,3.099,-43.274,278.748,5.737
0.354,0.163,2.921,-34.363,308.289,-2.93
0.271,0.109,2.689,-25.574,335.144,-13.062
0.212,0.026,2.44,-18.982,357.788,-22.095
0.168,-0.052,2.21,-14.832,375.427,-27.344
0.125,-0.14,2.001,-12.878,388.306,-30.212
0.035,-0.226,1.777,-13.794,397.522,-34.363
-0.064,-0.31,1.545,-14.587,405.457,-36.743
-0.167,-0.382,1.32,-13.062,411.987,-39.001
-0.241,-0.381,1.073,-7.202,417.175,-44.067
-0.331,-0.351,0.815,3.662,419.556,-47.18
-0.337,-0.342,0.651,16.357,420.654,-45.166
-0.29,-0.35,0.507,30.884,416.626,-39.734
-0.271,-0.396,0.357,47.424,407.41,-33.203
-0.274,-0.45,0.223,63.171,397.095,-27.344
-0.172,-0.507,0.158,77.698,386.536,-24.963
-0.117,-0.483,0.013,90.21,370.544,-26.917
-0.045,-0.491,-0.055,95.764,355.835,-24.17
-0.01,-0.443,-0.095,96.985,337.28,-20.386
-0.045,-0.404,-0.189,93.567,312.805,-10.437
-0.079,-0.38,-0.251,81.97,293.762,1.099
-0.016,-0.368,-0.253,68.604,283.691,7.08
0.085,-0.336,-0.218,54.993,272.339,10.376
0.159,-0.27,-0.182,40.222,257.385,14.221
0.149,-0.177,-0.189,32.959,238.892,21.973
0.132,-0.089,-0.12,36.377,208.74,37.109
0.151,-0.051,-0.003,44.373,155.029,56.03
0.175,-0.097,0.03,41.992,81.848,75.378
0.019,-0.148,-0.306,33.447,5.249,84.717
-0.049,-0.108,-0.665,25.818,-38.33,84.595
0.13,0.048,-0.568,14.893,-41.87,83.252
0.243,0.038,-0.332,1.282,-43.701,91.187
0.3,-0.106,-0.308,-5.31,-68.604,95.215
0.392,-0.154,-0.414,-1.16,-99.915,81.604
0.457,-0.044,-0.457,4.517,-123.901,61.462
0.466,0.05,-0.459,10.742,-142.7,51.208
0.451,0.08,-0.559,14.709,-159.363,51.819
0.327,0.042,-0.687,18.555,-162.598,50.171
0.198,0.002,-0.725,21.606,-145.081,48.401
0.151,0.037,-0.668,23.01,-111.145,48.767
0.175,0.079,-0.577,24.536,-73.792,46.143
0.258,0.065,-0.508,23.254,-41.992,42.542
0.325,0.04,-0.463,18.005,-15.076,41.016
0.376,0.028,-0.384,9.277,7.141,36.316
0.474,0.047,-0.285,-1.831,21.729,27.832
0.584,0.108,-0.215,-12.085,26.123,20.02
0.675,0.172,-0.198,-20.264,22.156,15.137
0.73,0.217,-0.217,-25.818,14.404,12.939
0.76,0.25,-0.242,-27.466,5.92,13.184
0.786,0.273,-0.262,-26.062,-0.549,14.771
0.802,0.273,-0.265,-23.621,-4.822,16.541
