aX,aY,aZ,gX,gY,gZ
-0.082,-0.839,0.473,-12.207,1.404,-0.793
-0.074,-0.837,0.473,-9.827,0.732,-0.916
-0.073,-0.847,0.473,-7.202,-0.061,-0.671
-0.078,-0.871,0.476,-4.7,-1.16,-1.038
-0.077,-0.9,0.474,-4.15,-2.197,-1.16
-0.083,-0.914,0.467,-4.456,-3.113,-1.526
-0.094,-0.922,0.464,-6.042,-3.784,-2.014
-0.105,-0.92,0.46,-7.446,-3.906,-2.563
-0.114,-0.908,0.453,-7.263,-3.723,-3.174
-0.113,-0.904,0.461,-6.775,-2.808,-3.174
-0.108,-0.902,0.467,-6.592,-1.892,-2.808
-0.104,-0.89,0.456,-5.798,-1.709,-1.953
-0.097,-0.892,0.448,-4.761,-1.343,-0.671
-0.08,-0.9,0.452,-3.662,-0.366,0.671
-0.065,-0.905,0.456,-2.869,-0.122,1.343
-0.064,-0.906,0.461,-1.831,-1.16,1.343
-0.07,-0.914,0.462,-1.16,-2.441,0.549
-0.073,-0.926,0.463,-1.526,-3.296,-0.916
-0.08,-0.931,0.462,-3.174,-3.601,-2.747
-0.093,-0.93,0.465,-5.31,-3.906,-3.845
-0.109,-0.924,0.466,-6.836,-4.089,-4.639
-0.119,-0.931,0.456,-6.409,-3.906,-5.432
-0.115,-0.929,0.445,-6.409,-2.625,-5.615
-0.099,-0.919,0.44,-7.568,0.0,-5.249
-0.085,-0.903,0.451,-7.935,3.479,-3.967
-0.073,-0.891,0.461,-6.409,5.493,-2.625
-0.061,-0.881,0.463,-3.723,5.371,-2.136
-0.048,-0.878,0.464,-1.282,4.272,-1.77
-0.048,-0.883,0.468,0.061,2.625,-0.977
-0.055,-0.897,0.468,0.427,-0.122,0.244
-0.061,-0.916,0.457,-0.122,-3.174,0.732
-0.064,-0.926,0.452,-0.977,-4.761,0.244
1.043,2.188,-0.43,114.197,5.615,-57.861
1.218,2.521,-0.603,145.142,-3.479,-97.29
1.369,2.745,-0.751,162.964,-6.592,-141.296
1.507,2.845,-0.812,168.518,-6.531,-193.481
1.523,2.802,-0.802,164.795,-13.733,-262.268
1.339,2.721,-0.758,160.95,-36.499,-354.065
0.986,2.657,-0.623,162.476,-71.472,-459.961
0.503,2.599,-0.446,163.696,-116.089,-562.012
0.018,2.419,-0.268,162.415,-173.828,-641.602
-0.396,2.311,-0.007,163.879,-246.582,-690.308
-1.116,2.313,0.121,184.875,-331.909,-705.383
-2.301,1.673,0.362,248.352,-379.333,-702.209
-3.359,0.38,0.418,287.476,-395.081,-671.753
-3.963,-1.565,-0.339,253.723,-419.495,-550.964
-4.0,-3.512,-1.755,193.787,-379.272,-425.476
-4.0,-4.0,-2.291,127.93,-247.437,-354.797
-3.956,-4.0,-1.668,28.015,-54.199,-335.632
-2.652,-4.0,-0.932,-73.792,112.244,-397.827
-1.72,-3.75,-0.554,-106.079,176.453,-437.317
-0.896,-2.064,-0.603,-94.299,181.641,-361.511
-0.682,-0.958,0.155,-64.026,210.083,-209.106
-0.704,-0.807,1.106,-61.218,220.52,-55.054
